"ID";"REG1";"Event";"DIM";"Date";"Remark";"R";"T";"B";"Technician";"ET Donor Dam";"ET Donor Reg";
        43 ;276001405111040 ;BESAMT     ; 390 ;04/10/24;NIGHTBLU.B      ;O ; 2 ;C ;S�ren      7         ;;;
        43 ;276001405111040 ;BESAMT     ; 411 ;25/10/24;NIGHTBLU.B      ;O ; 4 ;C ;Annett     300       ;;;
        43 ;276001405111040 ;BESAMT     ; 422 ;05/11/24;NIGHTBLU.B      ;O ; 2 ;G ;S�ren      7         ;;;
        43 ;276001405111040 ;BESAMT     ; 439 ;22/11/24;NIGHTBLU.B      ;O ; 4 ;C ;Annett     300       ;;;
        48 ;276001406201439 ;BESAMT     ; 151 ;14/10/24;NIGHTBLU.B      ;O ; 2 ;C ;S�ren      7         ;;;
       102 ;276001405955350 ;BESAMT     ; 301 ;05/10/24;RIVARIDG        ;O ; 2 ;C ;S�ren      7         ;;;
       102 ;276001405955350 ;BESAMT     ; 322 ;26/10/24;NIGHTBLU.B      ;A ; 4 ;C ;Annett     300       ;;;
       114 ;276001406130289 ;BESAMT     ;  57 ;08/10/24;SLAVIA          ;P ; 5 ;C ;Stefan     278       ;;;
       115 ;276001405955261 ;BESAMT     ; 131 ;22/11/24;NIGHTBLU.B      ;O ; 5 ;O ;Stefan     278       ;;;
       115 ;276001405955261 ;BESAMT     ; 137 ;28/11/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
       115 ;276001405955261 ;BESAMT     ; 152 ;13/12/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
       120 ;276001272845877 ;BESAMT     ;  53 ;04/10/24;SLAVIA          ;O ; 5 ;C ;Stefan     278       ;;;
       120 ;276001272845877 ;BESAMT     ;  62 ;13/10/24;RIVARIDG        ;O ; 3 ;C ;Sjoerd     278       ;;;
       120 ;276001272845877 ;BESAMT     ;  82 ;02/11/24;SLAVIA          ;P ; 5 ;C ;Stefan     278       ;;;
       122 ;276001406130229 ;BESAMT     ; 192 ;07/10/24;LIENONME        ;O ; 2 ;C ;S�ren      7         ;;;
       122 ;276001406130229 ;BESAMT     ; 214 ;29/10/24;NIGHTBLU.B      ;O ; 2 ;C ;S�ren      7         ;;;
       126 ;276001406192797 ;BESAMT     ; 165 ;10/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
       126 ;276001406192797 ;BESAMT     ; 190 ;04/11/24;NIGHTBLU.B      ;P ; 5 ;S ;Stefan     278       ;;;
       126 ;276001406192797 ;BESAMT     ; 214 ;28/11/24;NIGHTBLU.B      ;C ; 5 ;C ;Stefan     278       ;;;
       132 ;276001272845968 ;BESAMT     ;  65 ;23/10/24;SLAVIA          ;P ; 4 ;C ;Annett     300       ;;;
       135 ;276001405883917 ;BESAMT     ; 288 ;20/10/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
       145 ;276001406130063 ;BESAMT     ; 360 ;13/10/24;NIGHTBLU.B      ;O ; 2 ;G ;S�ren      7         ;;;
       145 ;276001406130063 ;BESAMT     ; 383 ;05/11/24;NIGHTBLU.B      ;P ; 2 ;G ;S�ren      7         ;;;
       149 ;276001273514205 ;BESAMT     ; 105 ;12/10/24;LIENONME        ;P ; 3 ;C ;Sjoerd     278       ;;;
       151 ;276001406531741 ;BESAMT     ; 100 ;09/10/24;DIVINITY        ;P ; 4 ;C ;Annett     300       ;;;
       158 ;276001272845842 ;BESAMT     ; 139 ;07/11/24;NIGHTBLU.B      ;- ; 4 ;C ;Annett     300       ;;;
       171 ;276001406130026 ;BESAMT     ;  95 ;04/10/24;SLAVIA          ;O ; 5 ;C ;Stefan     278       ;;;
       171 ;276001406130026 ;BESAMT     ; 114 ;23/10/24;SLAVIA          ;O ; 2 ;G ;S�ren      7         ;;;
       171 ;276001406130026 ;BESAMT     ; 158 ;06/12/24;NIGHTBLU.B      ;O ; 4 ;O ;Annett     300       ;;;
       183 ;276001406487731 ;BESAMT     ;  50 ;11/11/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
       197 ;276001272845840 ;BESAMT     ;  80 ;18/10/24;SLAVIA          ;P ; 2 ;C ;S�ren      7         ;;;
       200 ;276001273514240 ;BESAMT     ;  47 ;01/10/24;SLAVIA          ;P ; 5 ;C ;Stefan     278       ;;;
       236 ;276001406373862 ;BESAMT     ; 314 ;18/10/24;SLAVIA          ;P ; 2 ;C ;S�ren      7         ;;;
       238 ;276001406466302 ;BESAMT     ; 146 ;01/10/24;NIGHTBLU.B      ;C ; 5 ;C ;Stefan     278       ;;;
       238 ;276001406466302 ;BESAMT     ; 157 ;12/10/24;NIGHTBLU.B      ;C ; 3 ;C ;Sjoerd     278       ;;;
       247 ;276001406356279 ;BESAMT     ;  76 ;22/11/24;NIGHTBLU.B      ;P ; 5 ;O ;Stefan     278       ;;;
       252 ;276001270693015 ;BESAMT     ;  63 ;03/11/24;NIGHTBLU.B      ;O ; 3 ;C ;Sjoerd     278       ;;;
       252 ;276001270693015 ;BESAMT     ;  69 ;09/11/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
